Time,Source,Sequence
1.00105,1,0
1.00105,2,0
1.00105,3,0
1.00105,4,0
1.00109,1,0
1.00109,2,0
1.00109,3,0
1.00109,4,0
1.10616,1,1
1.10662,2,1
1.10697,1,1
1.10708,3,1
1.10743,2,1
1.10755,4,1
1.10789,3,1
1.10801,1,1
1.10836,4,1
1.10848,2,1
1.10882,1,1
1.10894,3,1
1.10929,2,1
1.1094,4,1
1.10975,3,1
1.11021,4,1
1.22129,1,959
1.2221,1,1917
1.22981,2,959
1.23062,2,1917
1.23834,3,959
1.23915,3,1917
1.24687,4,959
1.24768,4,1917
1.2554,1,959
1.25621,1,1917
1.26393,2,959
1.26474,2,1917
1.27245,3,959
1.27326,3,1917
1.28055,4,959
1.28136,4,1917
1.33552,1,2875
1.33633,1,3833
1.34362,1,4791
1.34443,1,5749
1.35171,2,2875
1.35252,2,3833
1.35981,2,4791
1.36062,2,5749
1.3679,3,2875
1.36871,3,3833
1.376,3,4791
1.37681,3,5749
1.3841,4,2875
1.38491,4,3833
1.39219,4,4791
1.393,4,5749
1.40029,1,2875
1.4011,1,3833
1.40838,1,4791
1.40919,1,5749
1.41648,2,2875
1.41729,2,3833
1.42458,2,4791
1.42539,2,5749
1.43267,3,2875
1.43348,3,3833
1.44077,3,4791
1.44158,3,5749
1.44886,4,2875
1.44967,4,3833
1.45696,4,4791
1.45777,4,5749
1.46506,1,6707
1.46587,1,7665
1.47315,1,8623
1.47396,1,9581
1.48125,1,10539
1.48206,1,11497
1.48934,1,12455
1.49015,1,13413
1.49744,2,6707
1.49825,2,7665
1.50554,2,8623
1.50635,2,9581
1.51363,2,10539
1.51444,2,11497
1.52173,2,12455
1.52254,2,13413
1.52982,3,6707
1.53063,3,7665
1.53792,3,8623
1.53873,3,9581
1.54602,3,10539
1.54683,3,11497
1.55411,3,12455
1.55492,3,13413
1.56221,4,6707
1.56302,4,7665
1.5703,4,8623
1.57111,4,9581
1.5784,4,10539
1.57921,4,11497
1.5865,4,12455
1.58731,4,13413
1.59459,1,6707
1.5954,1,7665
1.60269,1,8623
1.6035,1,9581
1.61078,1,10539
1.61159,1,11497
1.61888,1,12455
1.61969,1,13413
1.62698,2,6707
1.62779,2,7665
1.63507,2,8623
1.63588,2,9581
1.64317,2,10539
1.64398,2,11497
1.65126,2,12455
1.65207,2,13413
1.65936,3,6707
1.66017,3,7665
1.66746,3,8623
1.66827,3,9581
1.67555,3,10539
1.67636,3,11497
1.68365,3,12455
1.68446,3,13413
1.69174,4,6707
1.69255,4,7665
1.69984,4,8623
1.70065,4,9581
1.70794,4,10539
1.70875,4,11497
1.71603,4,12455
1.71684,4,13413
1.72413,1,14371
1.72494,1,15329
1.73222,1,16287
1.73303,1,17245
1.74032,1,18203
1.74113,1,19161
1.74842,1,20119
1.74923,1,21077
1.75651,1,22035
1.75732,1,22993
1.76461,1,23951
1.76542,1,24909
1.7727,1,25867
1.77351,1,26825
1.7808,1,27783
1.78161,1,28741
1.7889,2,14371
1.78971,2,15329
1.79699,2,16287
1.7978,2,17245
1.80509,2,18203
1.8059,2,19161
1.81318,2,20119
1.81399,2,21077
1.82128,2,22035
1.82209,2,22993
1.82938,2,23951
1.83019,2,24909
1.83747,2,25867
1.83828,2,26825
1.84557,2,27783
1.84638,2,28741
1.85366,3,14371
1.85447,3,15329
1.86176,3,16287
1.86257,3,17245
1.86986,3,18203
1.87067,3,19161
1.87795,3,20119
1.87876,3,21077
1.88605,3,22035
1.88686,3,22993
1.89414,3,23951
1.89495,3,24909
1.90224,3,25867
1.90305,3,26825
1.91034,3,27783
1.91115,3,28741
1.91843,4,14371
1.91924,4,15329
1.92653,4,16287
1.92734,4,17245
1.93462,4,18203
1.93543,4,19161
1.94272,4,20119
1.94353,4,21077
1.95082,4,22035
1.95163,4,22993
1.95891,4,23951
1.95972,4,24909
1.96701,4,25867
1.96782,4,26825
1.9751,4,27783
1.97591,4,28741
1.9832,1,14371
1.98401,1,15329
1.9913,1,16287
1.99211,1,17245
1.99939,1,18203
