Time,Source,Sequence
1.00105,1,0
1.00105,2,0
1.00105,3,0
1.00105,4,0
1.00105,5,0
1.00105,6,0
1.00105,7,0
1.00105,8,0
1.00105,9,0
1.00105,10,0
1.00105,11,0
1.00105,12,0
1.00109,1,0
1.00109,2,0
1.00109,3,0
1.00109,4,0
1.00109,5,0
1.00109,6,0
1.00109,7,0
1.00109,8,0
1.00109,9,0
1.00109,10,0
1.00109,11,0
1.00109,12,0
1.10616,1,1
1.10662,2,1
1.10697,1,1
1.10708,3,1
1.10743,2,1
1.10755,4,1
1.10789,3,1
1.10801,5,1
1.10836,4,1
1.10848,6,1
1.10882,5,1
1.10894,7,1
1.10929,6,1
1.1094,8,1
1.10975,7,1
1.10987,9,1
1.11021,8,1
1.11033,10,1
1.11068,9,1
1.1108,11,1
1.11114,10,1
1.11126,12,1
1.11161,11,1
1.11172,1,1
1.11207,12,1
1.11219,2,1
1.11253,1,1
1.11265,3,1
1.113,2,1
1.11312,4,1
1.11346,3,1
1.11358,5,1
1.11393,4,1
1.11404,6,1
1.11439,5,1
1.11451,7,1
1.11485,6,1
1.11497,8,1
1.11532,7,1
1.11544,9,1
1.11578,8,1
1.1159,10,1
1.11625,9,1
1.11636,11,1
1.11671,10,1
1.11683,12,1
1.11717,11,1
1.11764,12,1
1.22129,1,959
1.2221,1,1917
1.22981,2,959
1.23062,2,1917
1.23834,3,959
1.23915,3,1917
1.24687,4,959
1.24768,4,1917
1.2554,5,959
1.25621,5,1917
1.26393,6,959
1.26474,6,1917
1.27245,7,959
1.27326,7,1917
1.28098,8,959
1.28179,8,1917
1.28951,9,959
1.29032,9,1917
1.29804,10,959
1.29885,10,1917
1.30657,11,959
1.30738,11,1917
1.31509,12,959
1.3159,12,1917
1.32362,1,959
1.32443,1,1917
1.33215,2,959
1.33296,2,1917
1.34068,3,959
1.34149,3,1917
1.34921,4,959
1.35002,4,1917
1.35773,5,959
1.35854,5,1917
1.36626,6,959
1.36707,6,1917
1.37479,7,959
1.3756,7,1917
1.38332,8,959
1.38413,8,1917
1.39185,9,959
1.39266,9,1917
1.40037,10,959
1.40118,10,1917
1.4089,11,959
1.40971,11,1917
1.417,12,959
1.41781,12,1917
1.42509,1,2875
1.4259,1,3833
1.43319,1,4791
1.434,1,5749
1.44129,2,2875
1.4421,2,3833
1.44938,2,4791
1.45019,2,5749
1.45748,3,2875
1.45829,3,3833
1.46557,3,4791
1.46638,3,5749
1.47367,4,2875
1.47448,4,3833
1.48177,4,4791
1.48258,4,5749
1.48986,5,2875
1.49067,5,3833
1.49796,5,4791
1.49877,5,5749
1.50605,6,2875
1.50686,6,3833
1.51415,6,4791
1.51496,6,5749
1.52225,7,2875
1.52306,7,3833
1.53034,7,4791
1.53115,7,5749
1.53844,8,2875
1.53925,8,3833
1.54653,8,4791
1.54734,8,5749
1.55463,9,2875
1.55544,9,3833
1.56273,9,4791
1.56354,9,5749
1.57082,10,2875
1.57163,10,3833
1.57892,10,4791
1.57973,10,5749
1.58701,11,2875
1.58782,11,3833
1.59511,11,4791
1.59592,11,5749
1.60321,12,2875
1.60402,12,3833
1.6113,12,4791
1.61211,12,5749
1.6194,1,2875
1.62021,1,3833
1.62749,1,4791
1.6283,1,5749
1.63559,2,2875
1.6364,2,3833
1.64369,2,4791
1.6445,2,5749
1.65178,3,2875
1.65259,3,3833
1.65988,3,4791
1.66069,3,5749
1.66797,4,2875
1.66878,4,3833
1.67607,4,4791
1.67688,4,5749
1.68417,5,2875
1.68498,5,3833
1.69226,5,4791
1.69307,5,5749
1.70036,6,2875
1.70117,6,3833
1.70845,6,4791
1.70926,6,5749
1.71655,7,2875
1.71736,7,3833
1.72465,7,4791
1.72546,7,5749
1.73274,8,2875
1.73355,8,3833
1.74084,8,4791
1.74165,8,5749
1.74893,9,2875
1.74974,9,3833
1.75703,9,4791
1.75784,9,5749
1.76513,10,2875
1.76594,10,3833
1.77322,10,4791
1.77403,10,5749
1.78132,11,2875
1.78213,11,3833
1.78941,11,4791
1.79022,11,5749
1.79751,12,2875
1.79832,12,3833
1.80561,12,4791
1.80642,12,5749
1.8137,1,6707
1.81451,1,7665
1.8218,1,8623
1.82261,1,9581
1.82989,1,10539
1.8307,1,11497
1.83799,1,12455
1.8388,1,13413
1.84609,2,6707
1.8469,2,7665
1.85418,2,8623
1.85499,2,9581
1.86228,2,10539
1.86309,2,11497
1.87037,2,12455
1.87118,2,13413
1.87847,3,6707
1.87928,3,7665
1.88657,3,8623
1.88738,3,9581
1.89466,3,10539
1.89547,3,11497
1.90276,3,12455
1.90357,3,13413
1.91085,4,6707
1.91166,4,7665
1.91895,4,8623
1.91976,4,9581
1.92705,4,10539
1.92786,4,11497
1.93514,4,12455
1.93595,4,13413
1.94324,5,6707
1.94405,5,7665
1.95133,5,8623
1.95214,5,9581
1.95943,5,10539
1.96753,5,11497
1.97562,5,12455
1.98372,5,13413
1.99181,6,6707
1.99991,6,7665
2.00801,6,8623
2.0161,6,9581
2.0242,6,10539
2.03229,6,11497
2.04039,6,12455
2.04849,6,13413
2.05658,7,6707
2.06468,7,7665
2.07277,7,8623
2.08087,7,9581
2.08897,7,10539
2.09706,7,11497
2.10516,7,12455
2.11325,7,13413
2.12135,8,6707
2.12945,8,7665
2.13754,8,8623
2.14564,8,9581
2.15373,8,10539
2.16183,8,11497
2.16993,8,12455
2.17802,8,13413
2.18612,9,6707
2.19421,9,7665
2.20231,9,8623
2.21041,9,9581
2.2185,9,10539
2.2266,9,11497
2.23469,9,12455
2.24279,9,13413
2.25089,10,6707
2.25898,10,7665
2.26708,10,8623
2.27517,10,9581
2.28327,10,10539
2.29137,10,11497
2.29946,10,12455
2.30756,10,13413
2.31565,11,6707
2.32375,11,7665
2.33185,11,8623
2.33994,11,9581
2.34804,11,10539
2.35613,11,11497
2.36423,11,12455
2.37233,11,13413
2.38042,12,6707
2.38852,12,7665
2.39661,12,8623
2.40471,12,9581
2.41281,12,10539
2.4209,12,11497
2.429,12,12455
2.43709,12,13413
2.44519,1,6707
2.45329,1,7665
2.46138,1,8623
2.46948,1,9581
2.47757,1,10539
2.48567,1,11497
2.49377,1,12455
2.50186,1,13413
2.50996,2,6707
2.51805,2,7665
2.52615,2,8623
2.53425,2,9581
2.54234,2,10539
2.55044,2,11497
2.55853,2,12455
2.56663,2,13413
2.57473,3,6707
2.58282,3,7665
2.59092,3,8623
2.59901,3,9581
2.60711,3,10539
2.61521,3,11497
2.6233,3,12455
2.6314,3,13413
2.63949,4,6707
2.64759,4,7665
2.65569,4,8623
2.66378,4,9581
2.67188,4,10539
2.67997,4,11497
2.68807,4,12455
2.69617,4,13413
2.70426,5,6707
2.71236,5,7665
2.72045,5,8623
2.72855,5,9581
2.73665,5,10539
2.74474,5,11497
2.75284,5,12455
2.76093,5,13413
2.76903,6,6707
2.77713,6,7665
2.78522,6,8623
2.79332,6,9581
2.80141,6,10539
2.80951,6,11497
2.81761,6,12455
2.8257,6,13413
2.8338,7,6707
2.84189,7,7665
2.84999,7,8623
2.85809,7,9581
2.86618,7,10539
2.87428,7,11497
2.88237,7,12455
2.89047,7,13413
2.89857,8,6707
2.90666,8,7665
2.91476,8,8623
2.92285,8,9581
2.93095,8,10539
2.93905,8,11497
2.94714,8,12455
2.95524,8,13413
2.96333,9,6707
2.97143,9,7665
2.97953,9,8623
2.98762,9,9581
2.99572,9,10539
3.00381,9,11497
3.01191,9,12455
3.02001,9,13413
3.0281,10,6707
3.0362,10,7665
3.04429,10,8623
3.05239,10,9581
3.06049,10,10539
3.06858,10,11497
3.07668,10,12455
3.08477,10,13413
3.09287,11,6707
3.10097,11,7665
3.10906,11,8623
3.11716,11,9581
3.12525,11,10539
3.13335,11,11497
3.14145,11,12455
3.14954,11,13413
3.15764,12,6707
3.16573,12,7665
3.17383,12,8623
3.18193,12,9581
3.19002,12,10539
3.19812,12,11497
3.20621,12,12455
3.21431,12,13413
3.22241,1,14371
3.2305,1,15329
3.2386,1,16287
3.24669,1,17245
3.25479,1,18203
3.26289,1,19161
3.27098,1,20119
3.27908,1,21077
3.28717,1,22035
3.29527,1,22993
3.30337,1,23951
3.31146,1,24909
3.31956,1,25867
3.32765,1,26825
3.33575,1,27783
3.34385,1,28741
3.35194,2,14371
3.36004,2,15329
3.36813,2,16287
3.37623,2,17245
3.38433,2,18203
3.39242,2,19161
3.40052,2,20119
3.40861,2,21077
3.41671,2,22035
3.42481,2,22993
3.4329,2,23951
3.441,2,24909
3.44909,2,25867
3.45719,2,26825
3.46529,2,27783
3.47338,2,28741
3.48148,3,14371
3.48957,3,15329
3.49767,3,16287
3.50577,3,17245
3.51386,3,18203
3.52196,3,19161
3.53005,3,20119
3.53815,3,21077
3.54625,3,22035
3.55434,3,22993
3.56244,3,23951
3.57053,3,24909
3.57863,3,26825
3.58673,3,28741
3.59482,4,15329
3.60292,4,17245
3.61101,4,19161
3.61911,4,21077
3.62721,4,22993
3.6353,4,24909
3.6434,4,26825
3.65149,4,28741
3.65959,5,15329
3.66769,5,17245
3.67578,5,19161
3.68388,5,21077
3.69197,5,22993
3.70007,5,24909
3.70817,5,26825
3.71626,5,28741
3.72436,6,15329
3.73245,6,17245
3.74055,6,19161
3.74865,6,21077
3.75674,6,22993
3.76484,6,24909
3.77293,6,26825
3.78103,6,28741
3.78913,7,15329
3.79722,7,17245
3.80532,7,19161
3.81341,7,21077
3.82151,7,22993
3.82961,7,24909
3.8377,7,26825
3.8458,7,28741
3.85389,8,15329
3.86199,8,17245
3.87009,8,19161
3.87818,8,21077
3.88628,8,22993
3.89437,8,24909
3.90247,8,26825
3.91057,8,28741
3.91866,9,15329
3.92676,9,17245
3.93485,9,19161
3.94295,9,21077
3.95105,9,22993
3.95914,9,24909
3.96724,9,26825
3.97533,9,28741
3.98343,10,15329
3.99153,10,17245
3.99962,10,19161
4.00772,10,21077
4.01581,10,22993
4.02391,10,24909
4.03201,10,26825
4.0401,10,28741
4.0482,11,15329
4.05629,11,17245
4.06439,11,19161
4.07249,11,21077
4.08058,11,22993
4.08868,11,24909
4.09677,11,26825
4.10487,11,28741
4.11297,12,15329
4.12106,12,17245
4.12916,12,19161
4.13725,12,21077
4.14535,12,22993
4.15345,12,24909
4.16154,12,26825
4.16964,12,28741
4.17773,1,15329
4.18583,1,17245
4.19393,1,19161
4.20202,1,21077
4.21012,1,22993
4.21821,1,24909
4.22631,1,26825
4.23441,1,28741
4.2425,2,15329
4.2506,2,17245
4.25869,2,19161
4.26679,2,21077
4.27489,2,22993
4.28298,2,24909
4.29108,2,26825
4.29917,2,28741
4.30727,3,15329
4.31537,3,17245
4.32346,3,19161
4.33156,3,21077
4.33965,3,22993
4.34775,3,24909
4.35585,3,26825
4.36394,3,28741
4.37204,4,15329
4.38013,4,17245
4.38823,4,19161
4.39633,4,21077
4.40442,4,22993
4.41252,4,24909
4.42061,4,26825
4.42871,4,28741
4.43681,5,15329
4.4449,5,17245
4.453,5,19161
4.46109,5,21077
4.46919,5,22993
4.47729,5,24909
4.48538,5,26825
4.49348,5,28741
4.50157,6,15329
4.50967,6,17245
4.51777,6,19161
4.52586,6,21077
4.53396,6,22993
4.58253,6,24909
4.58253,6,26825
4.58253,6,28741
4.58253,7,15329
4.58253,7,17245
4.58253,7,19161
4.59063,7,21077
4.59873,7,22993
4.6473,7,24909
4.6473,7,26825
4.6473,7,28741
4.6473,8,15329
4.6473,8,17245
4.6473,8,19161
4.6554,8,21077
4.66349,8,22993
4.71207,8,24909
4.71207,8,26825
4.71207,8,28741
4.71207,9,15329
4.71207,9,17245
4.71207,9,19161
4.72017,9,21077
4.72826,9,22993
4.77684,9,24909
4.77684,9,26825
4.77684,9,28741
4.77684,10,15329
4.77684,10,17245
4.77684,10,19161
4.78493,10,21077
4.79303,10,22993
4.83983,10,24909
4.83983,10,26825
4.83983,10,28741
4.83983,11,15329
4.83983,11,17245
4.84161,11,19161
4.8497,11,21077
4.8578,11,22993
4.90637,11,24909
4.90637,11,26825
4.90637,11,28741
4.90637,12,15329
4.90637,12,17245
4.90637,12,19161
4.91447,12,21077
4.92257,12,22993
4.97114,12,24909
4.97114,12,26825
4.97114,12,28741
4.97114,1,30657
4.97114,1,32573
4.97114,1,34489
4.97924,1,36405
4.98733,1,38321
5.03591,1,40237
5.03591,1,42153
5.03591,1,44069
5.03591,1,45985
5.03591,1,47901
5.03591,1,49817
5.04401,1,51733
5.0521,1,53649
5.10068,1,55565
5.10068,1,57481
5.10068,1,59397
5.10068,2,30657
5.10068,2,32573
5.10068,2,34489
5.10877,2,36405
5.11687,2,38321
5.16545,2,40237
5.16545,2,42153
5.16545,2,44069
5.16545,2,45985
5.16545,2,47901
5.16545,2,49817
5.17354,2,51733
5.18164,2,53649
5.23021,2,55565
5.23021,2,57481
5.23021,2,59397
5.23021,3,30657
5.23021,3,32573
5.23021,3,34489
5.23831,3,36405
5.24641,3,38321
5.25837,3,40237
5.29498,3,42153
5.29498,3,44069
5.29498,3,45985
5.29498,3,47901
5.29498,3,49817
5.30308,3,51733
5.31117,3,53649
5.35975,4,29699
5.35975,4,30657
5.35975,4,14371
5.35975,5,29699
5.35975,5,30657
5.35975,5,14371
5.36785,6,29699
5.37594,6,30657
5.39794,6,14371
5.39794,7,30657
5.42452,7,14371
5.42452,8,29699
5.42452,8,30657
5.42452,8,14371
5.43261,4,14371
5.44071,9,29699
5.48929,9,30657
5.48929,9,14371
5.48929,10,29699
5.48929,10,30657
5.48929,10,14371
5.48929,11,29699
5.49738,11,30657
5.50548,5,14371
5.53402,11,14371
5.53402,12,29699
5.53402,12,30657
5.55405,12,14371
5.55405,1,29699
5.55405,1,30657
5.56215,1,14371
5.57025,6,14371
5.61882,2,29699
5.61882,2,30657
5.61882,2,14371
5.61882,3,29699
5.61882,3,30657
5.61882,3,14371
5.62692,7,14371
5.63501,4,29699
5.67465,4,30657
5.67465,4,14371
5.67465,5,29699
5.67465,5,30657
5.67465,5,14371
5.68359,8,14371
5.69169,6,29699
5.69978,6,30657
5.74836,6,14371
5.74836,7,29699
5.74836,7,30657
5.74836,7,14371
