Time,Source,Sequence
2.76903,3,25867
2.77713,3,27783
2.78522,4,14371
2.79332,4,16287
2.80141,4,18203
2.80951,4,20119
2.81761,4,22035
2.8257,4,23951
2.8338,4,25867
2.84189,4,27783
2.84999,5,14371
2.85809,5,16287
2.86618,5,18203
2.87428,5,20119
2.88237,5,22035
2.89047,5,23951
2.89857,5,25867
2.90666,5,27783
2.91476,6,14371
2.92285,6,16287
2.93095,6,18203
2.93905,6,20119
2.94714,6,22035
2.95524,6,23951
2.96333,6,25867
2.97143,6,27783
2.97953,7,14371
2.98762,7,16287
2.99572,7,18203
3.00381,7,20119
3.01191,7,22035
3.02001,7,23951
3.0281,7,25867
3.0362,7,27783
3.04429,8,14371
3.05239,8,16287
3.06049,8,18203
3.06858,8,20119
3.07668,8,22035
3.08477,8,23951
3.09287,8,25867
3.10097,8,27783
3.10906,9,14371
3.11716,9,16287
3.12525,9,18203
3.13335,9,20119
3.14145,9,22035
3.14954,9,23951
3.15764,9,25867
3.16573,9,27783
3.17383,10,14371
3.18193,10,16287
3.19002,10,18203
3.19812,10,20119
3.20621,10,22035
3.21431,10,23951
3.22241,10,25867
3.2305,10,27783
3.2386,11,14371
3.24669,11,16287
3.25479,11,18203
3.26289,11,20119
3.27098,11,22035
3.27908,11,23951
3.28717,11,25867
3.29527,11,27783
3.30337,12,14371
3.31146,12,16287
3.31956,12,18203
3.32765,12,20119
3.33575,12,22035
3.34385,12,23951
3.35194,12,25867
3.36004,12,27783
3.36813,1,14371
3.37623,1,16287
3.38433,1,18203
3.39242,1,20119
3.40052,1,22035
3.40861,1,23951
3.41671,1,25867
3.42481,1,27783
3.4329,2,14371
3.441,2,16287
3.44909,2,18203
3.45719,2,20119
3.46529,2,22035
3.47338,2,23951
3.48148,2,25867
3.48957,2,27783
3.49767,3,14371
3.50577,3,16287
3.51386,3,18203
3.52196,3,20119
3.53005,3,22035
3.53815,3,23951
3.54625,3,25867
3.55434,3,27783
3.56244,4,14371
3.57053,4,16287
3.57863,4,18203
3.58673,4,20119
3.59482,4,22035
3.60292,4,23951
3.61101,4,25867
3.61911,4,27783
3.62721,5,14371
3.6353,5,16287
3.6434,5,18203
3.65149,5,20119
3.65959,5,22035
3.66769,5,23951
3.67578,5,25867
3.68388,5,27783
3.69197,6,14371
3.70007,6,16287
3.70817,6,18203
3.71626,6,20119
3.72436,6,22035
3.73245,6,23951
3.74055,6,25867
3.74865,6,27783
3.75674,7,14371
3.76484,7,16287
3.77293,7,18203
3.78103,7,20119
3.78913,7,22035
3.79722,7,23951
3.80532,7,25867
3.81341,7,27783
3.82151,8,14371
3.82961,8,16287
3.8377,8,18203
3.8458,8,20119
3.85389,8,22035
3.86199,8,23951
3.87009,8,25867
3.87818,8,27783
3.88628,9,14371
3.89437,9,16287
3.90247,9,18203
3.91057,9,20119
3.91866,9,22035
3.92676,9,23951
3.93485,9,25867
3.94295,9,27783
3.95105,10,14371
3.95914,10,16287
3.96724,10,18203
3.97533,10,20119
3.98343,10,22035
3.99153,10,23951
3.99962,10,25867
4.00772,10,27783
4.01581,11,14371
4.02391,11,16287
4.03201,11,18203
4.0401,11,20119
4.0482,11,22035
4.05629,11,23951
4.06439,11,25867
4.07249,11,27783
4.08058,12,14371
4.08868,12,16287
4.09677,12,18203
4.10487,12,20119
4.11297,12,22035
4.12106,12,23951
4.12916,12,25867
4.13725,12,27783
4.14535,1,29699
4.15345,1,31615
4.16154,1,33531
4.16964,1,35447
4.17773,1,37363
4.18583,1,39279
4.19393,1,41195
4.20202,1,43111
4.21012,1,45027
4.21821,1,46943
4.22631,1,48859
4.23441,1,50775
4.2425,1,52691
4.2506,1,54607
4.25869,1,56523
4.26679,1,58439
4.27489,2,29699
4.28298,2,31615
4.29108,2,33531
4.29917,2,35447
4.30727,2,37363
4.31537,2,39279
4.32346,2,41195
4.33156,2,43111
4.33965,2,45027
4.34775,2,46943
4.35585,2,48859
4.36394,2,50775
4.37204,2,52691
4.38013,2,54607
4.38823,2,56523
4.39633,2,58439
4.40442,3,29699
4.41252,3,31615
4.42061,3,33531
4.42871,3,35447
4.43681,3,37363
4.4449,3,39279
4.453,3,41195
4.46109,3,43111
4.46919,3,45027
4.47729,3,46943
4.48538,3,48859
4.49348,3,50775
4.50157,3,52691
4.71207,7,29699
