Time,CurrentSize,AverageSize
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,44,44
1.13,99,143
1.14,100,243
1.15,99,342
1.16,100,442
1.17,99,541
1.18,99,640
1.19,74,714
1.2,20,734
1.21,0,734
1.22,0,734
1.23,0,734
1.24,0,734
1.25,0,734
1.26,0,734
1.27,0,734
1.28,0,734
1.29,0,734
1.3,0,734
1.31,0,734
1.32,0,734
1.33,0,734
1.34,0,734
1.35,0,734
1.36,0,734
1.37,0,734
1.38,0,734
1.39,0,734
1.4,0,734
1.41,0,734
1.42,0,734
1.43,0,734
1.44,0,734
1.45,0,734
1.46,0,734
1.47,0,734
1.48,0,734
1.49,0,734
1.5,0,734
1.51,0,734
1.52,0,734
1.53,0,734
1.54,0,734
1.55,0,734
1.56,0,734
1.57,0,734
1.58,0,734
1.59,0,734
1.6,0,734
1.61,0,734
1.62,0,734
1.63,0,734
1.64,0,734
1.65,0,734
1.66,0,734
1.67,0,734
1.68,0,734
1.69,0,734
1.7,0,734
1.71,0,734
1.72,0,734
1.73,0,734
1.74,0,734
1.75,0,734
1.76,0,734
1.77,0,734
1.78,0,734
1.79,0,734
1.8,8,742
1.81,8,750
1.82,8,758
1.83,8,766
1.84,15,781
1.85,16,797
1.86,18,815
1.87,27,842
1.88,29,871
1.89,31,902
1.9,33,935
1.91,50,985
1.92,51,1036
1.93,53,1089
1.94,54,1143
1.95,57,1200
1.96,59,1259
1.97,60,1319
1.98,62,1381
1.99,63,1444
2,65,1509
2.01,66,1575
2.02,68,1643
2.03,69,1712
2.04,71,1783
2.05,72,1855
2.06,74,1929
2.07,74,2003
2.08,76,2079
2.09,77,2156
2.1,79,2235
2.11,79,2314
2.12,80,2394
2.13,61,2455
2.14,63,2518
2.15,64,2582
2.16,44,2626
2.17,46,2672
2.18,48,2720
2.19,49,2769
2.2,40,2809
2.21,42,2851
2.22,45,2896
2.23,47,2943
2.24,27,2970
2.25,29,2999
2.26,29,3028
2.27,30,3058
2.28,31,3089
2.29,31,3120
2.3,34,3154
2.31,35,3189
2.32,38,3227
2.33,39,3266
2.34,44,3310
2.35,45,3355
2.36,48,3403
2.37,49,3452
2.38,50,3502
2.39,54,3556
2.4,55,3611
2.41,58,3669
2.42,59,3728
2.43,63,3791
2.44,65,3856
2.45,67,3923
2.46,69,3992
2.47,71,4063
2.48,72,4135
2.49,73,4208
2.5,74,4282
2.51,76,4358
2.52,81,4439
2.53,81,4520
2.54,76,4596
2.55,77,4673
2.56,78,4751
2.57,76,4827
2.58,70,4897
2.59,66,4963
2.6,42,5005
2.61,42,5047
2.62,26,5073
2.63,27,5100
2.64,30,5130
2.65,31,5161
2.66,33,5194
2.67,32,5226
2.68,27,5253
2.69,28,5281
2.7,29,5310
2.71,34,5344
2.72,43,5387
2.73,44,5431
2.74,46,5477
2.75,46,5523
2.76,48,5571
2.77,50,5621
2.78,52,5673
2.79,53,5726
2.8,55,5781
2.81,57,5838
2.82,57,5895
2.83,59,5954
2.84,60,6014
2.85,62,6076
2.86,64,6140
2.87,66,6206
2.88,67,6273
2.89,70,6343
2.9,70,6413
2.91,72,6485
2.92,74,6559
2.93,74,6633
2.94,75,6708
2.95,60,6768
2.96,60,6828
2.97,62,6890
2.98,42,6932
2.99,42,6974
3,43,7017
3.01,35,7052
3.02,30,7082
3.03,32,7114
3.04,11,7125
3.05,13,7138
3.06,15,7153
3.07,18,7171
3.08,7,7178
3.09,8,7186
3.1,11,7197
3.11,13,7210
3.12,16,7226
3.13,17,7243
3.14,20,7263
3.15,22,7285
3.16,24,7309
3.17,26,7335
3.18,28,7363
3.19,30,7393
3.2,32,7425
3.21,34,7459
3.22,36,7495
3.23,38,7533
3.24,40,7573
3.25,42,7615
3.26,44,7659
3.27,46,7705
3.28,48,7753
3.29,49,7802
3.3,51,7853
3.31,53,7906
3.32,55,7961
3.33,57,8018
3.34,58,8076
3.35,60,8136
3.36,61,8197
3.37,62,8259
3.38,64,8323
3.39,66,8389
3.4,67,8456
3.41,69,8525
3.42,72,8597
3.43,72,8669
3.44,73,8742
3.45,76,8818
3.46,76,8894
3.47,78,8972
3.48,78,9050
3.49,80,9130
3.5,81,9211
3.51,63,9274
3.52,48,9322
3.53,39,9361
3.54,41,9402
3.55,36,9438
3.56,36,9474
3.57,28,9502
3.58,30,9532
3.59,25,9557
3.6,26,9583
3.61,25,9608
3.62,28,9636
3.63,27,9663
3.64,29,9692
3.65,32,9724
3.66,35,9759
3.67,38,9797
3.68,40,9837
3.69,41,9878
3.7,44,9922
3.71,46,9968
3.72,47,10015
3.73,49,10064
3.74,50,10114
3.75,52,10166
3.76,54,10220
3.77,56,10276
3.78,56,10332
3.79,58,10390
3.8,60,10450
3.81,63,10513
3.82,64,10577
3.83,65,10642
3.84,68,10710
3.85,69,10779
3.86,72,10851
3.87,71,10922
3.88,72,10994
3.89,74,11068
3.9,74,11142
3.91,77,11219
3.92,72,11291
3.93,73,11364
3.94,75,11439
3.95,65,11504
3.96,45,11549
3.97,46,11595
3.98,47,11642
3.99,49,11691
4,39,11730
4.01,21,11751
4.02,22,11773
4.03,23,11796
4.04,24,11820
4.05,26,11846
4.06,19,11865
4.07,20,11885
4.08,21,11906
4.09,23,11929
4.1,24,11953
4.11,26,11979
4.12,28,12007
4.13,30,12037
4.14,32,12069
4.15,34,12103
4.16,37,12140
4.17,38,12178
4.18,40,12218
4.19,42,12260
4.2,44,12304
4.21,46,12350
4.22,48,12398
4.23,49,12447
4.24,52,12499
4.25,54,12553
4.26,56,12609
4.27,57,12666
4.28,59,12725
4.29,61,12786
4.3,62,12848
4.31,64,12912
4.32,66,12978
4.33,68,13046
4.34,70,13116
4.35,72,13188
4.36,72,13260
4.37,74,13334
4.38,76,13410
4.39,77,13487
4.4,78,13565
4.41,79,13644
4.42,51,13695
4.43,53,13748
4.44,53,13801
4.45,47,13848
4.46,48,13896
