Time,CurrentSize,AverageSize
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,0,0
1.13,0,0
1.14,0,0
1.15,0,0
1.16,0,0
1.17,0,0
1.18,0,0
1.19,0,0
1.2,0,0
1.21,0,0
1.22,0,0
1.23,0,0
1.24,0,0
1.25,0,0
1.26,0,0
1.27,0,0
1.28,0,0
1.29,0,0
1.3,0,0
1.31,0,0
1.32,0,0
1.33,0,0
1.34,0,0
1.35,0,0
1.36,0,0
1.37,0,0
1.38,0,0
1.39,0,0
1.4,0,0
1.41,0,0
1.42,0,0
1.43,0,0
1.44,0,0
1.45,0,0
1.46,0,0
1.47,0,0
1.48,0,0
1.49,0,0
1.5,0,0
1.51,0,0
1.52,0,0
1.53,0,0
1.54,0,0
1.55,0,0
1.56,0,0
1.57,0,0
1.58,0,0
1.59,0,0
1.6,0,0
1.61,0,0
1.62,0,0
1.63,0,0
1.64,0,0
1.65,0,0
1.66,0,0
1.67,0,0
1.68,0,0
1.69,0,0
1.7,0,0
1.71,0,0
1.72,0,0
1.73,0,0
1.74,0,0
1.75,0,0
1.76,0,0
1.77,0,0
1.78,0,0
1.79,0,0
1.8,0,0
1.81,0,0
1.82,0,0
1.83,0,0
1.84,0,0
1.85,0,0
1.86,0,0
1.87,0,0
1.88,0,0
1.89,0,0
1.9,0,0
1.91,0,0
1.92,0,0
1.93,0,0
1.94,0,0
1.95,0,0
1.96,0,0
1.97,2,2
1.98,3,5
1.99,4,9
2,5,14
2.01,7,21
2.02,8,29
2.03,9,38
2.04,10,48
2.05,12,60
2.06,13,73
2.07,14,87
2.08,15,102
2.09,17,119
2.1,18,137
2.11,19,156
2.12,20,176
2.13,21,197
2.14,23,220
2.15,24,244
2.16,25,269
2.17,26,295
2.18,28,323
2.19,29,352
2.2,30,382
2.21,31,413
2.22,33,446
2.23,34,480
2.24,35,515
2.25,36,551
2.26,38,589
2.27,39,628
2.28,40,668
2.29,41,709
2.3,42,751
2.31,44,795
2.32,45,840
2.33,46,886
2.34,47,933
2.35,49,982
2.36,50,1032
2.37,51,1083
2.38,52,1135
2.39,54,1189
2.4,55,1244
2.41,56,1300
2.42,57,1357
2.43,59,1416
2.44,60,1476
2.45,61,1537
2.46,62,1599
2.47,63,1662
2.48,65,1727
2.49,66,1793
2.5,67,1860
2.51,68,1928
2.52,70,1998
2.53,71,2069
2.54,72,2141
2.55,73,2214
2.56,75,2289
2.57,76,2365
2.58,77,2442
2.59,78,2520
2.6,80,2600
2.61,81,2681
2.62,82,2763
2.63,83,2846
2.64,84,2930
2.65,86,3016
2.66,87,3103
2.67,88,3191
2.68,89,3280
2.69,91,3371
2.7,92,3463
2.71,93,3556
2.72,94,3650
2.73,96,3746
2.74,97,3843
2.75,98,3941
2.76,99,4040
2.77,100,4140
2.78,100,4240
2.79,100,4340
2.8,100,4440
2.81,99,4539
2.82,100,4639
2.83,100,4739
2.84,100,4839
2.85,99,4938
2.86,100,5038
2.87,100,5138
2.88,100,5238
2.89,100,5338
2.9,100,5438
2.91,100,5538
2.92,100,5638
2.93,100,5738
2.94,100,5838
2.95,100,5938
2.96,100,6038
2.97,100,6138
2.98,99,6237
2.99,100,6337
3,100,6437
3.01,100,6537
3.02,100,6637
3.03,100,6737
3.04,100,6837
3.05,100,6937
3.06,100,7037
3.07,100,7137
3.08,100,7237
3.09,100,7337
3.1,100,7437
3.11,100,7537
3.12,100,7637
3.13,100,7737
3.14,100,7837
3.15,99,7936
3.16,100,8036
3.17,100,8136
3.18,100,8236
3.19,100,8336
3.2,100,8436
3.21,100,8536
3.22,100,8636
3.23,100,8736
3.24,100,8836
3.25,100,8936
3.26,100,9036
3.27,100,9136
3.28,100,9236
3.29,100,9336
3.3,100,9436
3.31,100,9536
3.32,99,9635
3.33,100,9735
3.34,100,9835
3.35,100,9935
3.36,100,10035
3.37,100,10135
3.38,100,10235
3.39,100,10335
3.4,100,10435
3.41,100,10535
3.42,100,10635
3.43,100,10735
3.44,100,10835
3.45,100,10935
3.46,100,11035
3.47,100,11135
3.48,100,11235
3.49,99,11334
3.5,100,11434
3.51,100,11534
3.52,100,11634
3.53,100,11734
3.54,100,11834
3.55,100,11934
3.56,100,12034
3.57,100,12134
3.58,100,12234
3.59,100,12334
3.6,100,12434
3.61,100,12534
3.62,100,12634
3.63,100,12734
3.64,100,12834
3.65,100,12934
3.66,99,13033
3.67,100,13133
3.68,100,13233
3.69,100,13333
3.7,100,13433
3.71,100,13533
3.72,100,13633
3.73,100,13733
3.74,100,13833
3.75,100,13933
3.76,100,14033
3.77,100,14133
3.78,100,14233
3.79,100,14333
3.8,100,14433
3.81,100,14533
3.82,100,14633
3.83,99,14732
3.84,100,14832
3.85,100,14932
3.86,100,15032
3.87,100,15132
3.88,100,15232
3.89,100,15332
3.9,100,15432
3.91,100,15532
3.92,100,15632
3.93,100,15732
3.94,100,15832
3.95,100,15932
3.96,100,16032
3.97,100,16132
3.98,100,16232
3.99,100,16332
4,99,16431
4.01,100,16531
4.02,100,16631
4.03,100,16731
4.04,100,16831
4.05,100,16931
4.06,100,17031
4.07,100,17131
4.08,100,17231
4.09,100,17331
4.1,100,17431
4.11,100,17531
4.12,100,17631
4.13,100,17731
4.14,100,17831
4.15,100,17931
4.16,100,18031
4.17,99,18130
4.18,100,18230
4.19,100,18330
4.2,100,18430
4.21,100,18530
4.22,100,18630
4.23,100,18730
4.24,100,18830
4.25,100,18930
4.26,100,19030
4.27,100,19130
4.28,100,19230
4.29,100,19330
4.3,100,19430
4.31,100,19530
4.32,100,19630
4.33,100,19730
4.34,99,19829
4.35,100,19929
4.36,100,20029
4.37,100,20129
4.38,100,20229
4.39,100,20329
4.4,100,20429
4.41,100,20529
4.42,100,20629
4.43,100,20729
4.44,100,20829
4.45,100,20929
4.46,100,21029
4.47,100,21129
4.48,100,21229
4.49,100,21329
4.5,100,21429
4.51,99,21528
